Unnamed: 0,Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
31,2017-05-28,9934.41,442.85,290.99,15.52,9185.05,9185.05,0.0,0.0,organic,2017,HarrisburgScranton
13,2017-10-01,8873.32,1474.43,1689.97,0.0,5708.92,5639.42,69.5,0.0,organic,2017,WestTexNewMexico
39,2015-03-29,263845.02,71334.94,151939.31,36.04,40534.73,6885.37,33649.36,0.0,organic,2015,West
5,2015-11-22,3886.59,96.19,1743.54,0.0,2046.86,6.67,2040.19,0.0,organic,2015,Spokane
34,2017-05-07,6683.62,781.71,145.14,0.0,5756.77,2633.33,3123.44,0.0,organic,2017,Orlando
24,2016-07-10,5061.84,118.66,169.83,0.0,4773.35,2552.99,2220.36,0.0,organic,2016,BuffaloRochester
20,2017-08-13,5862368.39,2346710.99,2079376.28,190313.03,1245968.09,1160556.19,32819.18,52592.72,conventional,2017,California
1,2016-12-18,691008.74,57866.09,487109.62,8751.94,137281.09,133753.32,2845.65,682.12,conventional,2016,BaltimoreWashington
41,2016-03-13,527217.55,219895.48,131684.94,263.76,175373.37,56866.76,118506.61,0.0,conventional,2016,Tampa
31,2017-05-28,18289.39,12.99,299.98,0.0,17976.42,17976.42,0.0,0.0,organic,2017,NorthernNewEngland
16,2016-09-04,8582.19,205.09,4068.91,881.26,3426.93,3416.93,10.0,0.0,organic,2016,Charlotte
11,2017-10-15,205378.62,57304.56,33515.01,10114.48,104444.57,89625.81,13124.18,1694.58,conventional,2017,Detroit
25,2016-07-03,85205.46,1970.63,47537.91,1.25,35695.67,32830.67,0.0,2865.0,conventional,2016,Syracuse
17,2017-09-03,54026.99,1395.08,19190.49,973.47,32467.95,20082.79,12385.16,0.0,organic,2017,Plains
0,2018-03-25,5518.73,171.22,806.65,3.93,4536.93,2944.89,1592.04,0.0,organic,2018,Jacksonville
19,2017-08-20,4524974.68,1995269.12,1293180.21,165218.13,1071307.22,986592.65,33841.83,50872.74,conventional,2017,California
4,2018-02-25,416950.05,255777.62,26833.71,1404.42,132934.3,93328.68,39425.62,180.0,conventional,2018,Orlando
33,2016-05-08,504149.45,216508.21,132765.13,6506.62,148369.49,95500.81,52832.8,35.88,conventional,2016,SouthCarolina
26,2016-06-26,333568.95,143186.79,76177.69,94.86,114109.61,68453.99,35165.62,10490.0,conventional,2016,Orlando
49,2016-01-17,34426341.87,10036597.84,13832256.04,1419405.62,9138082.37,6846324.06,2228420.91,63337.4,conventional,2016,TotalUS
29,2015-06-07,7277.02,158.41,2909.31,772.63,3436.67,2473.82,962.85,0.0,organic,2015,RaleighGreensboro
21,2015-08-02,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta
33,2015-05-10,625558.14,4601.5,476827.52,131.47,143997.65,141309.43,2688.22,0.0,conventional,2015,Boston
20,2015-08-09,4599.05,2327.49,56.78,0.0,2214.78,2214.78,0.0,0.0,organic,2015,Orlando
5,2015-11-22,270529.34,95526.76,55945.23,63404.02,55653.33,47388.76,1257.23,7007.34,conventional,2015,Detroit
41,2015-03-15,65534.87,3884.91,47489.47,0.0,14160.49,8669.15,5491.34,0.0,organic,2015,GreatLakes
0,2017-12-31,32775.71,398.15,2116.14,0.0,30261.42,27997.42,2264.0,0.0,organic,2017,Detroit
14,2017-09-24,7918.96,147.27,1288.65,0.0,6459.71,3930.37,2529.34,0.0,organic,2017,Indianapolis
46,2015-02-08,3870.67,13.74,2832.21,0.0,1024.72,323.33,701.39,0.0,organic,2015,Boise
5,2015-11-22,311784.91,194667.16,39338.15,57.68,77721.92,46934.42,30787.5,0.0,conventional,2015,Tampa
45,2016-02-14,173980.1,82198.65,38935.77,17174.63,35671.05,27386.88,7182.14,1102.03,conventional,2016,Columbus
41,2017-03-19,19557.62,5590.86,4605.78,0.0,9360.98,7775.63,1585.35,0.0,organic,2017,PhoenixTucson
9,2017-10-29,105902.71,20556.39,2692.5,0.0,82653.82,80872.33,1781.49,0.0,organic,2017,SouthCentral
5,2017-11-26,6698.22,247.15,1535.64,0.0,4915.43,4892.04,23.39,0.0,organic,2017,Roanoke
7,2016-11-06,139697.75,64239.09,10904.36,98.22,64456.08,45157.29,19079.35,219.44,conventional,2016,StLouis
6,2017-11-19,152431.73,19683.27,31559.25,69.86,101119.35,60158.89,40770.88,189.58,organic,2017,West
44,2017-02-26,411014.79,18063.56,251740.67,2094.14,139116.42,122476.97,16639.45,0.0,conventional,2017,Philadelphia
49,2017-01-22,286641.35,94347.19,107935.3,6890.03,77468.83,75851.48,1617.35,0.0,conventional,2017,RichmondNorfolk
11,2015-10-11,24738.5,2269.21,4720.12,26.14,17723.03,397.58,17325.45,0.0,organic,2015,Denver
52,2017-01-01,5905.05,287.57,36.42,0.0,5581.06,3530.0,2051.06,0.0,organic,2017,Tampa
14,2015-09-20,66134.27,33312.91,4392.69,0.0,28428.67,28383.81,44.86,0.0,organic,2015,SouthCentral
32,2015-05-17,22470.42,6094.92,7358.76,3915.19,5101.55,5101.55,0.0,0.0,organic,2015,BaltimoreWashington
43,2017-03-05,3078856.36,1616582.26,446313.48,6013.44,1009947.18,636964.49,368181.02,4801.67,conventional,2017,Southeast
12,2015-10-04,235243.88,2132.57,157237.69,11767.9,64105.72,16488.06,45980.45,1637.21,conventional,2015,CincinnatiDayton
25,2017-07-09,8389918.04,2821722.16,1464321.92,118151.88,3985722.08,2780258.77,1200981.9,4481.41,conventional,2017,West
41,2017-03-19,460990.81,215046.31,50085.35,147.93,195711.22,120153.69,72091.97,3465.56,conventional,2017,Atlanta
42,2015-03-08,47476.51,7056.73,38276.41,95.23,2048.14,0.0,2048.14,0.0,organic,2015,Seattle
16,2016-09-04,5235.64,714.79,1827.78,0.0,2693.07,1221.61,1471.46,0.0,organic,2016,Indianapolis
27,2016-06-19,442961.17,149055.97,60807.9,75225.17,157872.13,130698.09,1731.45,25442.59,conventional,2016,Detroit
39,2015-03-29,8962.77,3207.2,5150.91,0.0,604.66,604.66,0.0,0.0,organic,2015,SanDiego
7,2017-11-12,190445.0,53681.0,65657.0,4551.0,66556.0,62017.0,4539.0,0.0,conventional,2017,Charlotte
2,2015-12-13,153425.94,103097.4,11175.45,6145.91,33007.18,23065.69,9806.94,134.55,conventional,2015,Nashville
46,2016-02-07,1323490.25,528669.72,424427.32,203797.87,166595.34,71538.94,75749.73,19306.67,conventional,2016,Houston
34,2015-05-03,329589.03,4005.44,255378.5,539.0,69666.09,66957.03,2709.06,0.0,conventional,2015,HartfordSpringfield
12,2015-10-04,2167.25,128.29,1322.93,0.0,716.03,343.33,372.7,0.0,organic,2015,Indianapolis
9,2015-10-25,7858.07,8.31,84.27,0.0,7765.49,7765.49,0.0,0.0,organic,2015,NorthernNewEngland
51,2015-01-04,407675.56,24190.91,294715.33,2121.45,86647.87,72829.94,13817.93,0.0,conventional,2015,Philadelphia
45,2016-02-14,9595.71,1481.93,3314.57,0.0,4799.21,3443.29,1355.92,0.0,organic,2016,LasVegas
4,2015-11-29,49069.13,24189.98,2789.67,6031.49,16057.99,15860.63,0.0,197.36,conventional,2015,Boise
15,2016-09-11,6094.84,1073.85,114.5,0.0,4906.49,4522.54,383.95,0.0,organic,2016,Pittsburgh
37,2016-04-10,81224.11,2125.86,32426.84,0.0,46671.41,321.89,46349.52,0.0,organic,2016,Portland
2,2017-12-17,197844.12,97643.53,7363.32,224.12,92613.15,79113.94,12580.32,918.89,conventional,2017,Nashville
10,2015-10-18,805437.95,117059.41,435491.56,13693.47,239193.51,41688.37,197487.51,17.63,conventional,2015,Denver
12,2017-10-08,21089.7,10.89,194.84,0.0,20883.97,20879.53,4.44,0.0,organic,2017,NorthernNewEngland
35,2015-04-26,899632.66,596342.41,174560.73,14468.89,114260.63,80697.34,33563.29,0.0,conventional,2015,WestTexNewMexico
0,2015-12-27,2215.74,383.17,5.85,0.0,1826.72,1826.72,0.0,0.0,organic,2015,NewOrleansMobile
5,2016-11-20,11621.1,1865.39,4781.58,14.16,4959.97,4760.38,199.59,0.0,organic,2016,Philadelphia
15,2017-09-17,274560.95,81352.87,94454.59,4978.32,93775.17,91738.58,2026.59,10.0,conventional,2017,RaleighGreensboro
8,2018-01-28,435490.6,209197.71,72212.81,3511.52,150568.56,109267.86,38526.25,2774.45,conventional,2018,SouthCarolina
2,2017-12-17,1797.04,28.34,552.03,0.0,1216.67,264.39,952.28,0.0,organic,2017,Boise
36,2015-04-19,15852.99,8223.03,3998.93,865.46,2765.57,2765.57,0.0,0.0,organic,2015,BaltimoreWashington
38,2016-04-03,770876.88,61532.85,523512.27,12784.45,173047.31,170235.01,2812.3,0.0,conventional,2016,BaltimoreWashington
47,2015-02-01,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0.0,0.0,conventional,2015,Sacramento
8,2017-11-05,18268.65,4533.05,324.41,0.0,13411.19,13307.8,103.39,0.0,organic,2017,DallasFtWorth
43,2016-02-28,1081.74,15.76,1009.82,0.0,56.16,40.0,16.16,0.0,organic,2016,Louisville
43,2015-03-01,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0.0,conventional,2015,Boston
18,2016-08-21,31252.62,69.71,29470.17,0.0,1712.74,1712.74,0.0,0.0,organic,2016,Chicago
1,2017-12-24,7093.59,348.31,1173.86,0.0,5571.42,4651.63,919.79,0.0,organic,2017,Columbus
2,2017-12-17,253164.73,79511.53,70218.88,3459.14,99975.18,97660.72,2310.02,4.44,conventional,2017,RaleighGreensboro
1,2015-12-20,135427.66,40333.06,23867.6,40.52,71186.48,59160.36,12026.12,0.0,conventional,2015,StLouis
17,2017-09-03,3798.02,130.51,87.0,0.0,3580.51,2644.18,936.33,0.0,organic,2017,Syracuse
9,2015-10-25,10526.95,416.07,8846.71,0.0,1264.17,463.33,800.84,0.0,organic,2015,CincinnatiDayton
44,2017-02-26,8615.54,618.55,655.92,14.64,7326.43,7322.43,4.0,0.0,organic,2017,HarrisburgScranton
15,2017-09-17,222593.17,7488.87,162728.73,73.1,52302.47,50193.57,2102.23,6.67,conventional,2017,HartfordSpringfield
34,2017-05-07,301180.77,53636.12,140316.58,208.35,107019.72,101118.65,5671.9,229.17,conventional,2017,HarrisburgScranton
36,2016-04-17,7592473.98,2283526.35,2074920.94,168334.55,3065692.14,1944100.53,1112775.44,8816.17,conventional,2016,West
30,2015-05-31,3046.57,91.11,173.81,0.0,2781.65,2781.65,0.0,0.0,organic,2015,HarrisburgScranton
51,2015-01-04,3382800.12,467259.47,2059657.71,318102.38,537780.56,412779.64,111072.91,13928.01,conventional,2015,GreatLakes
38,2015-04-05,688065.45,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
2,2015-12-13,8699.18,307.35,6153.05,0.0,2238.78,440.58,1798.2,0.0,organic,2015,CincinnatiDayton
21,2017-08-06,476535.85,191792.73,140575.29,21769.92,122397.91,113356.35,6642.56,2399.0,conventional,2017,SanDiego
16,2016-09-04,93887.78,18723.14,37833.25,1349.45,35981.94,34860.32,902.45,219.17,conventional,2016,Pittsburgh
38,2015-04-05,4893.26,235.1,2349.78,523.63,1784.75,1330.0,454.75,0.0,organic,2015,RichmondNorfolk
4,2018-02-25,263363.41,59106.97,31605.03,9097.03,163554.38,135219.03,24337.13,3998.22,conventional,2018,CincinnatiDayton
1,2015-12-20,3999.44,66.16,2449.2,215.03,1269.05,1265.11,3.94,0.0,organic,2015,RichmondNorfolk
32,2015-05-17,164076.81,18666.08,89510.92,16162.78,39737.03,21260.58,16314.28,2162.17,conventional,2015,Indianapolis
25,2016-07-03,45009.96,1082.01,27564.89,56.6,16306.46,342.52,15963.94,0.0,organic,2016,Seattle
44,2016-02-21,1256.47,314.49,32.43,0.0,909.55,614.42,295.13,0.0,organic,2016,Pittsburgh
21,2016-07-31,86030.88,2355.37,53669.84,1144.87,28860.8,13632.0,13603.6,1625.2,conventional,2016,Louisville
9,2016-10-23,8533.85,653.46,6987.25,0.0,893.14,893.14,0.0,0.0,organic,2016,SanDiego
11,2016-10-09,19651.23,11578.91,2259.1,12.78,5800.44,4160.72,1639.72,0.0,organic,2016,Denver
4,2017-12-03,515907.0,101693.0,183341.0,36621.0,194253.0,120011.0,73013.0,1228.0,conventional,2017,Detroit
24,2017-07-16,381469.09,42039.06,224289.93,513.38,114626.72,105159.06,6522.1,2945.56,conventional,2017,Philadelphia
27,2016-06-19,40879.73,1015.37,38691.88,35.72,1136.76,332.71,804.05,0.0,organic,2016,Seattle
10,2015-10-18,438182.64,113111.46,188908.15,16086.11,120076.92,119843.01,92.18,141.73,conventional,2015,Portland
30,2016-05-29,8580.11,235.45,3673.93,404.27,4266.46,3765.03,501.43,0.0,organic,2016,RaleighGreensboro
18,2015-08-23,1617.91,3.0,87.09,0.0,1527.82,1527.82,0.0,0.0,organic,2015,Syracuse
37,2017-04-16,151862.73,83664.62,16186.11,70.75,51941.25,25862.92,25718.33,360.0,conventional,2017,Jacksonville
7,2015-11-08,197713.69,122265.65,21552.54,692.39,53203.11,49206.68,3996.43,0.0,conventional,2015,NewOrleansMobile
27,2017-06-25,376407.55,230886.33,38375.37,94.56,107051.29,60122.45,40833.84,6095.0,conventional,2017,Orlando
19,2016-08-14,9721.49,409.36,4531.35,1158.28,3622.5,3602.5,20.0,0.0,organic,2016,Charlotte
26,2015-06-28,2098.65,1325.09,3.56,0.0,770.0,770.0,0.0,0.0,organic,2015,Tampa
46,2017-02-12,17727.36,13.45,1111.3,13.52,16589.09,15419.88,1169.21,0.0,organic,2017,Boston
12,2015-10-04,678935.84,101712.18,364774.25,27621.71,184827.7,41345.58,143474.53,7.59,conventional,2015,Denver
26,2016-06-26,773677.84,165858.8,229712.84,17278.44,360827.76,146703.58,213090.85,1033.33,conventional,2016,Denver
45,2017-02-19,262109.86,149730.42,40603.49,58.48,71717.47,40951.55,30721.48,44.44,conventional,2017,Orlando
44,2016-02-21,26230.35,5043.6,10101.04,1489.17,9596.54,5209.49,4387.05,0.0,organic,2016,NewYork
17,2016-08-28,1835.58,0.0,1508.21,0.0,327.37,311.22,16.15,0.0,organic,2016,Boise
38,2015-04-05,75626.3,1833.31,49893.14,565.69,23334.16,15903.95,7424.19,6.02,conventional,2015,Louisville
37,2017-04-16,203220.34,48494.75,77380.84,7459.86,69884.89,66436.6,3448.29,0.0,conventional,2017,Charlotte
33,2016-05-08,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,0.0,conventional,2016,Albany
49,2017-01-22,113430.5,19006.07,38753.45,153.69,55517.29,49749.97,5680.78,86.54,conventional,2017,Spokane
21,2015-08-02,179321.9,30200.32,48686.77,39734.9,60699.91,58627.67,2072.24,0.0,conventional,2015,Charlotte
19,2015-08-16,187310.28,126796.3,18393.32,13672.42,28448.24,22867.47,5354.02,226.75,conventional,2015,Nashville
7,2016-11-06,174837.42,40523.19,82049.79,151.56,52112.88,51326.63,756.25,30.0,conventional,2016,HarrisburgScranton
30,2017-06-04,128923.07,12603.26,37820.46,0.0,78499.35,78481.95,17.4,0.0,organic,2017,LosAngeles
1,2015-12-20,2002.61,242.01,1474.26,0.0,286.34,222.2,64.14,0.0,organic,2015,Columbus
6,2015-11-15,30958.65,4190.97,14235.26,26.27,12506.15,7356.62,5149.53,0.0,organic,2015,Plains
50,2016-01-10,284119.04,3361.85,213814.5,238.17,66704.52,64792.83,1911.69,0.0,conventional,2016,HartfordSpringfield
25,2017-07-09,1442667.56,82965.35,800414.02,3563.36,555724.83,494674.05,42918.63,18132.15,conventional,2017,NewYork
12,2015-10-04,267919.95,123692.52,70671.2,14906.36,58649.87,38750.39,19899.48,0.0,conventional,2015,SouthCarolina
1,2018-03-18,45505.0,2132.2,6130.5,76.41,37165.89,37157.4,8.49,0.0,organic,2018,BaltimoreWashington
6,2017-11-19,79284.0,2182.0,33869.0,79.0,43155.0,12675.0,30480.0,0.0,conventional,2017,Louisville
3,2018-03-04,6295529.61,2380723.98,1676629.99,116796.74,2121378.9,1992549.07,47126.97,81702.86,conventional,2018,California
49,2015-01-18,729795.72,516446.41,128438.87,12473.14,72437.3,71564.22,873.08,0.0,conventional,2015,WestTexNewMexico
38,2015-04-05,196168.6,7516.57,135093.59,2508.15,51050.29,36567.48,14361.02,121.79,conventional,2015,CincinnatiDayton
35,2015-04-26,61953.59,38075.34,7687.89,0.0,16190.36,15665.1,525.26,0.0,organic,2015,SouthCentral
1,2017-12-24,3029.24,60.22,650.35,0.0,2318.67,388.73,1929.94,0.0,organic,2017,Boise
45,2017-02-19,3033918.41,1029674.7,493496.38,68553.91,1442193.42,1277346.26,130416.16,34431.0,conventional,2017,LosAngeles
47,2016-01-31,101620.12,2539.14,70021.38,4774.82,24284.78,10918.75,12100.16,1265.87,conventional,2016,Louisville
42,2016-03-06,311503.06,4867.45,241128.23,295.4,65211.98,64019.55,1189.08,3.35,conventional,2016,HartfordSpringfield
6,2017-11-19,21054.36,1267.18,3948.46,3.35,15835.37,1427.56,14258.78,149.03,organic,2017,Portland
37,2017-04-16,24454.71,1248.3,11853.83,398.85,10953.73,10925.78,27.95,0.0,organic,2017,BaltimoreWashington
7,2018-02-04,5070580.56,2532500.54,965716.73,93806.56,1478556.73,1414064.63,21441.6,43050.5,conventional,2018,LosAngeles
41,2015-03-15,453589.67,173278.26,189014.61,12217.98,79078.82,79057.76,8.42,12.64,conventional,2015,Seattle
46,2017-02-12,2375.9,20.27,426.9,0.0,1928.73,1244.86,683.87,0.0,organic,2017,Boise
46,2016-02-07,3042.3,59.36,1319.25,0.0,1663.69,234.02,1429.67,0.0,organic,2016,Spokane
45,2015-02-15,1159509.68,938840.55,143378.43,5938.72,71351.98,71344.45,7.53,0.0,conventional,2015,PhoenixTucson
39,2015-03-29,370065.74,261045.75,32977.11,87.26,75955.62,47569.63,28385.99,0.0,conventional,2015,MiamiFtLauderdale
22,2017-07-30,359544.03,168379.33,84509.29,1851.95,104803.46,75567.92,26297.82,2937.72,conventional,2017,SouthCarolina
44,2017-02-26,5481.89,12.0,1257.03,0.0,4212.86,402.22,3810.64,0.0,organic,2017,Louisville
50,2016-01-10,731602.32,100449.51,241994.09,20422.92,368735.8,363944.46,4247.82,543.52,conventional,2016,Portland
18,2015-08-23,2604991.25,1687625.73,538010.14,92245.94,287109.44,279700.22,3994.61,3414.61,conventional,2015,LosAngeles
26,2015-06-28,116913.79,46841.35,61727.62,0.0,8344.82,8341.49,3.33,0.0,organic,2015,California
40,2016-03-20,645235.38,5364.32,490720.39,34714.64,114436.03,114286.03,150.0,0.0,conventional,2016,Boston
36,2015-04-19,95959.08,2113.76,62591.27,5341.52,25912.53,19572.82,5205.38,1134.33,conventional,2015,Louisville
39,2015-03-29,178788.49,34498.06,50741.07,40688.42,52860.94,51856.01,1004.93,0.0,conventional,2015,Charlotte
43,2015-03-01,36086.54,15769.31,11650.03,14.93,8652.27,1970.0,6682.27,0.0,organic,2015,Denver
1,2017-12-24,769970.84,402476.91,150206.86,7966.08,209320.99,96489.71,112764.62,66.66,conventional,2017,WestTexNewMexico
24,2015-07-12,161657.89,64133.84,62394.38,82.03,35047.64,6307.0,28740.64,0.0,organic,2015,West
6,2016-11-13,18792.52,2802.1,8416.39,4.94,7569.09,704.21,6864.88,0.0,organic,2016,Portland
3,2015-12-06,52066.09,22080.38,4496.4,0.0,25489.31,25094.13,395.18,0.0,organic,2015,SouthCentral
41,2017-03-19,253838.3,5615.33,195073.06,691.53,52458.38,46606.3,5852.08,0.0,conventional,2017,HartfordSpringfield
32,2017-05-21,312273.14,87350.21,110400.31,6949.54,107573.08,104411.01,3162.07,0.0,conventional,2017,RaleighGreensboro
4,2016-11-27,581638.75,151462.15,291205.61,81651.23,57319.76,56501.53,797.78,20.45,conventional,2016,Chicago
11,2016-10-09,135520.48,43060.49,35355.69,143.93,56960.37,16656.5,40303.87,0.0,conventional,2016,Jacksonville
18,2017-08-27,253876.89,4199.84,88697.4,645.63,160334.02,21251.16,138455.0,627.86,conventional,2017,CincinnatiDayton
50,2017-01-15,19472.79,3979.48,1535.52,0.0,13957.79,13871.35,86.44,0.0,organic,2017,DallasFtWorth
6,2015-11-15,501838.1,264103.11,150523.33,15638.32,71573.34,63091.0,8482.34,0.0,conventional,2015,SanDiego
50,2015-01-11,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,conventional,2015,SanDiego
40,2016-03-20,123442.1,1893.15,76888.63,6365.83,38294.49,12950.94,23671.52,1672.03,conventional,2016,Louisville
8,2015-11-01,9499.24,287.24,7556.8,0.0,1655.2,326.67,1328.53,0.0,organic,2015,CincinnatiDayton
11,2016-10-09,1118.55,16.74,245.14,0.0,856.67,856.67,0.0,0.0,organic,2016,BuffaloRochester
18,2016-08-21,4533.5,454.13,1589.22,0.0,2490.15,1321.24,1168.91,0.0,organic,2016,Indianapolis
11,2015-10-11,2605.97,1536.09,43.53,26.35,1000.0,1000.0,0.0,0.0,organic,2015,Jacksonville
24,2017-07-16,5780893.13,2730101.66,1369045.96,19641.56,1662103.95,1083666.18,557527.48,20910.29,conventional,2017,SouthCentral
25,2016-07-03,233543.59,45220.67,72710.08,40378.07,75234.77,64809.58,8290.19,2135.0,conventional,2016,Charlotte
6,2015-11-15,8896.59,338.88,7249.58,0.0,1308.13,286.67,1021.46,0.0,organic,2015,CincinnatiDayton
10,2016-10-16,537970.39,191040.91,158620.0,235.86,188073.62,42989.0,144763.79,320.83,conventional,2016,MiamiFtLauderdale
5,2018-02-18,7057862.0,3904868.07,1066061.08,25700.92,2061231.93,1513446.56,496221.25,51564.12,conventional,2018,SouthCentral
5,2015-11-22,148242.89,44462.58,69493.08,6545.55,27741.68,27736.4,2.64,2.64,conventional,2015,RichmondNorfolk
17,2015-08-23,11341.36,5070.74,3018.12,0.0,3252.5,2216.67,1035.83,0.0,organic,2015,WestTexNewMexico
21,2016-07-31,17867.29,837.85,8580.22,0.0,8449.22,969.53,7479.69,0.0,organic,2016,Detroit
17,2016-08-28,18362.63,855.97,7611.27,0.0,9895.39,854.03,9041.36,0.0,organic,2016,Detroit
4,2017-12-03,6102.5,804.3,1175.92,0.0,4122.28,1492.22,2630.06,0.0,organic,2017,StLouis
29,2015-06-07,2005.12,54.91,941.53,0.0,1008.68,521.01,487.67,0.0,organic,2015,Indianapolis
6,2018-02-11,433809.84,89138.42,145487.36,5018.6,194165.46,71692.87,122026.15,446.44,conventional,2018,LasVegas
20,2015-08-09,84089.07,6759.99,64669.41,7.88,12651.79,9238.64,3413.15,0.0,organic,2015,GreatLakes
41,2017-03-19,25480.51,7444.63,11899.72,5.53,6130.63,5945.91,184.72,0.0,organic,2017,Philadelphia
39,2015-03-29,2121.96,22.27,745.34,0.0,1354.35,1314.35,40.0,0.0,organic,2015,Boston
46,2015-02-08,268195.87,129910.26,35996.84,40515.81,61772.96,57777.05,1023.87,2972.04,conventional,2015,Detroit
20,2015-08-09,145930.35,1306.17,99815.2,3021.58,41787.4,26618.86,15168.54,0.0,conventional,2015,Pittsburgh
50,2015-01-11,6926.75,417.73,5637.76,0.0,871.26,329.5,541.76,0.0,organic,2015,Detroit
0,2018-03-25,15502.38,728.9,4308.74,0.0,10464.74,7398.87,3065.87,0.0,organic,2018,CincinnatiDayton
6,2016-11-13,2819888.75,1219549.43,506554.74,13358.39,1080426.19,543743.7,535602.77,1079.72,conventional,2016,Southeast
34,2015-05-03,7982.59,6.9,631.45,0.0,7344.24,7344.24,0.0,0.0,organic,2015,NorthernNewEngland
25,2017-07-09,101331.41,2899.46,81929.02,494.51,16008.42,8213.25,5210.17,2585.0,conventional,2017,Albany
10,2017-10-22,167135.85,97915.36,9503.17,252.39,59464.93,49860.59,9599.22,5.12,conventional,2017,Nashville
